block,y,x,count
channels,0,2,1
channels,0,6,1
channels,0,21,1
channels,0,31,1
channels,0,59,1
channels,2,7,1
channels,9,16,1
channels,9,21,1
channels,15,25,1
channels,40,35,1
channels,75,27,1
channels,75,29,1
channels,75,30,1
channels,75,32,1
channels,75,35,1
channels,75,37,1
channels,15,28,1
channels,40,41,1
channels,75,38,1
channels,40,42,1
channels,75,45,1
channels,40,44,1
channels,75,47,1
channels,75,52,1
channels,15,30,1
channels,40,47,1
channels,75,59,1
channels,75,60,1
channels,75,61,1
channels,75,62,1
channels,75,63,1
channels,75,68,1
channels,9,23,1
channels,76,3,1
channels,76,7,1
channels,76,11,1
channels,76,12,1
channels,76,20,1
channels,76,21,1
channels,76,23,1
channels,76,28,1
channels,23,37,1
channels,40,72,1
channels,76,34,1
channels,76,37,1
channels,76,39,1
channels,76,40,1
channels,76,44,1
channels,76,45,1
channels,76,46,1
channels,76,49,1
channels,76,50,1
channels,76,52,1
channels,9,32,1
channels,15,37,1
channels,23,38,1
channels,76,54,1
channels,76,59,1
channels,76,60,1
channels,76,63,1
channels,23,42,1
channels,76,67,1
channels,76,68,1
channels,41,11,1
channels,76,71,1
channels,76,77,1
channels,15,38,1
channels,41,13,1
channels,41,16,1
channels,41,17,1
channels,41,18,1
channels,41,19,1
channels,77,15,1
channels,77,18,1
channels,77,19,1
channels,41,23,1
channels,77,20,1
channels,77,26,1
channels,41,25,1
channels,77,28,1
channels,77,31,1
channels,9,35,1
channels,41,28,1
channels,77,32,1
channels,77,44,1
channels,77,45,1
channels,41,33,1
channels,77,46,1
channels,77,47,1
channels,77,50,1
channels,77,55,1
channels,77,56,1
channels,15,43,1
channels,77,59,1
channels,77,60,1
channels,77,73,1
channels,77,80,1
channels,41,38,1
channels,41,39,1
channels,78,2,1
channels,78,3,1
channels,78,4,1
channels,41,42,1
channels,78,5,1
channels,78,6,1
channels,41,43,1
channels,78,8,1
channels,2,19,1
channels,4,58,1
channels,9,45,1
channels,15,46,1
channels,78,15,1
channels,78,18,1
channels,78,23,1
channels,78,24,1
channels,41,49,1
channels,78,30,1
channels,78,33,1
channels,78,34,1
channels,78,36,1
channels,78,37,1
channels,78,39,1
channels,78,45,1
channels,23,62,1
channels,78,49,1
channels,78,51,1
channels,78,59,1
channels,41,58,1
channels,78,61,1
channels,78,66,1
channels,78,67,1
channels,78,68,1
channels,79,3,1
channels,9,46,1
channels,23,63,1
channels,41,61,1
channels,41,63,1
channels,79,5,1
channels,79,6,1
channels,79,9,1
channels,41,74,1
channels,79,12,1
channels,79,13,1
channels,79,19,1
channels,23,66,1
channels,79,24,1
channels,79,28,1
channels,79,30,1
channels,79,31,1
channels,79,34,1
channels,79,35,1
channels,79,38,1
channels,23,70,1
channels,23,72,1
channels,79,52,1
channels,79,54,1
channels,79,65,1
channels,79,71,1
channels,23,81,1
channels,79,74,1
channels,79,80,1
channels,80,1,1
channels,80,2,1
channels,80,3,1
channels,2,28,1
channels,4,59,1
channels,9,48,1
channels,42,15,1
channels,80,9,1
channels,80,12,1
channels,80,13,1
channels,80,14,1
channels,80,15,1
channels,80,32,1
channels,42,19,1
channels,80,33,1
channels,80,34,1
channels,80,37,1
channels,42,21,1
channels,80,38,1
channels,80,62,1
channels,42,22,1
channels,42,23,1
channels,80,65,1
channels,80,66,1
channels,80,68,1
channels,81,2,1
channels,81,3,1
channels,81,6,1
channels,81,13,1
channels,81,14,1
channels,81,33,1
channels,81,43,1
channels,81,49,1
channels,81,50,1
channels,81,52,1
channels,4,60,1
channels,15,57,1
channels,81,64,1
channels,81,67,1
channels,82,8,1
channels,82,15,1
channels,82,27,1
channels,82,38,1
channels,42,35,1
channels,42,36,1
channels,82,47,1
channels,82,51,1
channels,82,60,1
channels,42,37,1
channels,82,74,1
channels,82,77,1
channels,83,0,1
channels,83,5,1
channels,9,52,1
channels,42,40,1
channels,83,10,1
channels,83,29,1
channels,83,39,1
channels,42,44,1
channels,83,49,1
channels,83,61,1
channels,42,45,1
channels,42,46,1
channels,83,83,1
channels,84,4,1
channels,84,6,1
channels,84,36,1
channels,84,43,1
channels,84,51,1
channels,84,52,1
channels,84,71,1
channels,0,61,1
channels,2,29,1
channels,4,61,1
channels,9,54,1
channels,15,65,1
channels,85,2,1
channels,85,54,1
channels,85,56,1
channels,85,64,1
channels,85,72,1
channels,86,6,1
channels,86,7,1
channels,15,67,1
channels,86,27,1
channels,86,58,1
channels,86,65,1
channels,86,84,1
channels,87,15,1
channels,87,34,1
channels,87,54,1
channels,88,0,1
channels,15,69,1
channels,24,21,1
channels,88,58,1
channels,89,6,1
channels,89,49,1
channels,89,50,1
channels,42,62,1
channels,42,64,1
channels,42,69,1
channels,4,67,1
channels,15,71,1
channels,24,24,1
channels,42,70,1
channels,43,3,1
channels,2,32,1
channels,4,72,1
channels,9,73,1
channels,24,37,1
channels,43,26,1
channels,43,28,1
channels,43,30,1
channels,43,32,1
channels,4,77,1
channels,24,42,1
channels,24,44,1
channels,43,37,1
channels,43,43,1
channels,43,46,1
channels,0,62,1
channels,2,33,1
channels,43,64,1
channels,43,65,1
channels,43,72,1
channels,5,5,1
channels,10,9,1
channels,24,60,1
channels,16,19,1
channels,24,65,1
channels,24,72,1
channels,2,36,1
channels,10,13,1
channels,16,21,1
channels,44,18,1
channels,44,19,1
channels,44,27,1
channels,10,21,1
channels,16,24,1
channels,44,28,1
channels,44,29,1
channels,16,25,1
channels,44,34,1
channels,44,35,1
channels,5,7,1
channels,16,26,1
channels,44,39,1
channels,44,40,1
channels,16,27,1
channels,44,43,1
channels,44,45,1
channels,10,24,1
channels,16,29,1
channels,0,38,1
channels,2,44,1
channels,5,10,1
channels,5,11,1
channels,10,25,1
channels,16,31,1
channels,25,19,1
channels,44,64,1
channels,10,28,1
channels,44,65,1
channels,44,66,1
channels,44,67,1
channels,25,25,1
channels,44,71,1
channels,44,79,1
channels,45,1,1
channels,10,29,1
channels,45,2,1
channels,10,30,1
channels,16,36,1
channels,45,16,1
channels,45,17,1
channels,5,23,1
channels,25,37,1
channels,25,38,1
channels,45,19,1
channels,45,21,1
channels,45,22,1
channels,45,25,1
channels,45,28,1
channels,45,31,1
channels,5,29,1
channels,25,44,1
channels,45,36,1
channels,45,37,1
